#serie;mention;specialite;option;code;libelle;coefficient;composition;bonus;facultatif;annee
S;EAT;E;R;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;C;E;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;C;R;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;I;E;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;I;R;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;M;R;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;P;E;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;P;R;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;I;E;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;I;R;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;M;E;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;M;R;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;P;E;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;P;R;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;S;E;005B;PHYS CHIM PRA;1;;;;2017
S;SVT;S;R;005B;PHYS CHIM PRA;1;;;;2017
S;SCI;C;E;006B-3;SC ING ORAL;1;**;;;2017
S;SCI;C;R;006B-3;SC ING ORAL;1;**;;;2017
S;SCI;I;E;006B-3;SC ING ORAL;1;**;;;2017
S;SCI;I;R;006B-3;SC ING ORAL;1;**;;;2017
S;SCI;M;R;006B-3;SC ING ORAL;1;**;;;2017
S;SCI;P;E;006B-3;SC ING ORAL;1;**;;;2017
S;SCI;P;R;006B-3;SC ING ORAL;1;**;;;2017
S;SVT;I;E;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;I;R;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;M;E;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;M;R;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;P;E;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;P;R;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;S;E;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;SVT;S;R;006B-2;S.V.T. PRATIQ;1;**;;;2017
S;EAT;E;R;007A;LV1 ECRIT;1;;;;2017
S;SCI;C;E;007A;LV1 ECRIT;1;;;;2017
S;SCI;C;R;007A;LV1 ECRIT;1;;;;2017
S;SCI;I;E;007A;LV1 ECRIT;1;;;;2017
S;SCI;I;R;007A;LV1 ECRIT;1;;;;2017
S;SCI;M;R;007A;LV1 ECRIT;1;;;;2017
S;SCI;P;E;007A;LV1 ECRIT;1;;;;2017
S;SCI;P;R;007A;LV1 ECRIT;1;;;;2017
S;SVT;I;E;007A;LV1 ECRIT;1;;;;2017
S;SVT;I;R;007A;LV1 ECRIT;1;;;;2017
S;SVT;M;E;007A;LV1 ECRIT;1;;;;2017
S;SVT;M;R;007A;LV1 ECRIT;1;;;;2017
S;SVT;P;E;007A;LV1 ECRIT;1;;;;2017
S;SVT;P;R;007A;LV1 ECRIT;1;;;;2017
S;SVT;S;E;007A;LV1 ECRIT;1;;;;2017
S;SVT;S;R;007A;LV1 ECRIT;1;;;;2017
S;EAT;E;R;007B;LV1 ORAL;1;*;;;2017
S;SCI;C;E;007B;LV1 ORAL;1;*;;;2017
S;SCI;C;R;007B;LV1 ORAL;1;*;;;2017
S;SCI;I;E;007B;LV1 ORAL;1;*;;;2017
S;SCI;I;R;007B;LV1 ORAL;1;*;;;2017
S;SCI;M;R;007B;LV1 ORAL;1;*;;;2017
S;SCI;P;E;007B;LV1 ORAL;1;*;;;2017
S;SCI;P;R;007B;LV1 ORAL;1;*;;;2017
S;SVT;I;E;007B;LV1 ORAL;1;*;;;2017
S;SVT;I;R;007B;LV1 ORAL;1;*;;;2017
S;SVT;M;E;007B;LV1 ORAL;1;*;;;2017
S;SVT;M;R;007B;LV1 ORAL;1;*;;;2017
S;SVT;P;E;007B;LV1 ORAL;1;*;;;2017
S;SVT;P;R;007B;LV1 ORAL;1;*;;;2017
S;SVT;S;E;007B;LV1 ORAL;1;*;;;2017
S;SVT;S;R;007B;LV1 ORAL;1;*;;;2017
S;EAT;E;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;C;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;C;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;I;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;I;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;M;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;P;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SCI;P;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;I;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;I;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;M;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;M;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;P;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;P;R;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;S;E;007BA;LV1 COMP ORAL;1;;;;2017
S;SVT;S;R;007BA;LV1 COMP ORAL;1;;;;2017
S;EAT;E;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;C;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;C;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;I;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;I;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;M;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;P;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;P;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;I;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;I;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;M;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;M;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;P;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;P;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;S;E;007BB;LV1 EXP ORALE;1;;;;2017
S;SVT;S;R;007BB;LV1 EXP ORALE;1;;;;2017
S;SCI;C;R;007C;LV1 ORAL;1;;;;2017
S;SVT;I;R;007C;LV1 ORAL;1;;;;2017
S;SVT;M;R;007C;LV1 ORAL;1;;;;2017
S;SVT;P;E;007C;LV1 ORAL;1;;;;2017
S;SVT;P;R;007C;LV1 ORAL;1;;;;2017
S;SVT;S;R;007C;LV1 ORAL;1;;;;2017
S;EAT;E;R;008A;LV2 ECRIT;1;;;;2017
S;SCI;C;E;008A;LV2 ECRIT;1;;;;2017
S;SCI;C;R;008A;LV2 ECRIT;1;;;;2017
S;SCI;I;E;008A;LV2 ECRIT;1;;;;2017
S;SCI;I;R;008A;LV2 ECRIT;1;;;;2017
S;SCI;M;R;008A;LV2 ECRIT;1;;;;2017
S;SCI;P;E;008A;LV2 ECRIT;1;;;;2017
S;SCI;P;R;008A;LV2 ECRIT;1;;;;2017
S;SVT;I;E;008A;LV2 ECRIT;1;;;;2017
S;SVT;I;R;008A;LV2 ECRIT;1;;;;2017
S;SVT;M;E;008A;LV2 ECRIT;1;;;;2017
S;SVT;M;R;008A;LV2 ECRIT;1;;;;2017
S;SVT;P;E;008A;LV2 ECRIT;1;;;;2017
S;SVT;P;R;008A;LV2 ECRIT;1;;;;2017
S;SVT;S;E;008A;LV2 ECRIT;1;;;;2017
S;SVT;S;R;008A;LV2 ECRIT;1;;;;2017
S;EAT;E;R;008B;LV2 ORAL;1;*;;;2017
S;SCI;C;E;008B;LV2 ORAL;1;*;;;2017
S;SCI;C;R;008B;LV2 ORAL;1;*;;;2017
S;SCI;I;E;008B;LV2 ORAL;1;*;;;2017
S;SCI;I;R;008B;LV2 ORAL;1;*;;;2017
S;SCI;M;R;008B;LV2 ORAL;1;*;;;2017
S;SCI;P;E;008B;LV2 ORAL;1;*;;;2017
S;SCI;P;R;008B;LV2 ORAL;1;*;;;2017
S;SVT;I;E;008B;LV2 ORAL;1;*;;;2017
S;SVT;I;R;008B;LV2 ORAL;1;*;;;2017
S;SVT;M;E;008B;LV2 ORAL;1;*;;;2017
S;SVT;M;R;008B;LV2 ORAL;1;*;;;2017
S;SVT;P;E;008B;LV2 ORAL;1;*;;;2017
S;SVT;P;R;008B;LV2 ORAL;1;*;;;2017
S;SVT;S;E;008B;LV2 ORAL;1;*;;;2017
S;SVT;S;R;008B;LV2 ORAL;1;*;;;2017
S;EAT;E;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;C;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;C;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;I;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;I;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;M;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;P;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SCI;P;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;I;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;I;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;M;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;M;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;P;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;P;R;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;S;E;008BA;LV2 COMP ORAL;1;;;;2017
S;SVT;S;R;008BA;LV2 COMP ORAL;1;;;;2017
S;EAT;E;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;C;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;C;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;I;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;I;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;M;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;P;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SCI;P;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;I;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;I;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;M;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;M;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;P;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;P;R;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;S;E;008BB;LV2 EXP ORALE;1;;;;2017
S;SVT;S;R;008BB;LV2 EXP ORALE;1;;;;2017
S;EAT;E;R;008C;LV2 ORAL;1;;;;2017
S;SCI;C;R;008C;LV2 ORAL;1;;;;2017
S;SVT;I;R;008C;LV2 ORAL;1;;;;2017
S;SVT;M;E;008C;LV2 ORAL;1;;;;2017
S;SVT;M;R;008C;LV2 ORAL;1;;;;2017
S;SVT;P;R;008C;LV2 ORAL;1;;;;2017
S;SVT;S;R;008C;LV2 ORAL;1;;;;2017
S;SVT;M;R;010A;1ERE ACT.EPS;1;;;;2017
S;SVT;P;R;010A;1ERE ACT.EPS;1;;;;2017
S;SVT;S;R;010A;1ERE ACT.EPS;1;;;;2017
S;SVT;M;R;010B;2EME ACT.EPS;1;;;;2017
S;SVT;P;R;010B;2EME ACT.EPS;1;;;;2017
S;SVT;S;R;010B;2EME ACT.EPS;1;;;;2017
S;SCI;C;E;014B;EVA.SCOLARITE;1;;;;2017
S;SCI;I;E;014B;EVA.SCOLARITE;1;;;;2017
S;SCI;P;E;014B;EVA.SCOLARITE;1;;;;2017
S;SVT;I;E;014B;EVA.SCOLARITE;1;;;;2017
S;SVT;M;E;014B;EVA.SCOLARITE;1;;;;2017
S;SVT;P;E;014B;EVA.SCOLARITE;1;;;;2017
S;SVT;S;E;014B;EVA.SCOLARITE;1;;;;2017
S;EAT;E;R;001;FRANCAIS ECR.;2;;;;2017
S;SCI;C;E;001;FRANCAIS ECR.;2;;;;2017
S;SCI;C;R;001;FRANCAIS ECR.;2;;;;2017
S;SCI;I;E;001;FRANCAIS ECR.;2;;;;2017
S;SCI;I;R;001;FRANCAIS ECR.;2;;;;2017
S;SCI;M;R;001;FRANCAIS ECR.;2;;;;2017
S;SCI;P;E;001;FRANCAIS ECR.;2;;;;2017
S;SCI;P;R;001;FRANCAIS ECR.;2;;;;2017
S;SVT;I;E;001;FRANCAIS ECR.;2;;;;2017
S;SVT;I;R;001;FRANCAIS ECR.;2;;;;2017
S;SVT;M;E;001;FRANCAIS ECR.;2;;;;2017
S;SVT;M;R;001;FRANCAIS ECR.;2;;;;2017
S;SVT;P;E;001;FRANCAIS ECR.;2;;;;2017
S;SVT;P;R;001;FRANCAIS ECR.;2;;;;2017
S;SVT;S;E;001;FRANCAIS ECR.;2;;;;2017
S;SVT;S;R;001;FRANCAIS ECR.;2;;;;2017
S;EAT;E;R;002;FRANCAIS ORAL;2;;;;2017
S;SCI;C;E;002;FRANCAIS ORAL;2;;;;2017
S;SCI;C;R;002;FRANCAIS ORAL;2;;;;2017
S;SCI;I;E;002;FRANCAIS ORAL;2;;;;2017
S;SCI;I;R;002;FRANCAIS ORAL;2;;;;2017
S;SCI;M;R;002;FRANCAIS ORAL;2;;;;2017
S;SCI;P;E;002;FRANCAIS ORAL;2;;;;2017
S;SCI;P;R;002;FRANCAIS ORAL;2;;;;2017
S;SVT;I;E;002;FRANCAIS ORAL;2;;;;2017
S;SVT;I;R;002;FRANCAIS ORAL;2;;;;2017
S;SVT;M;E;002;FRANCAIS ORAL;2;;;;2017
S;SVT;M;R;002;FRANCAIS ORAL;2;;;;2017
S;SVT;P;E;002;FRANCAIS ORAL;2;;;;2017
S;SVT;P;R;002;FRANCAIS ORAL;2;;;;2017
S;SVT;S;E;002;FRANCAIS ORAL;2;;;;2017
S;SVT;S;R;002;FRANCAIS ORAL;2;;;;2017
S;EAT;E;R;006B-1;EC AG TE OB P;2;*;;;2017
S;EAT;E;R;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;C;E;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;C;R;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;I;E;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;I;R;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;M;R;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;P;E;008;LANGUE VIV. 2;2;*;;;2017
S;SCI;P;R;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;I;E;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;I;R;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;M;E;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;M;R;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;P;E;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;P;R;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;S;E;008;LANGUE VIV. 2;2;*;;;2017
S;SVT;S;R;008;LANGUE VIV. 2;2;*;;;2017
S;EAT;E;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;C;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;C;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;I;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;I;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;M;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;P;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SCI;P;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;I;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;I;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;M;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;M;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;P;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;P;R;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;S;E;010;ED.PHYS.SPORT;2;*;;;2017
S;SVT;S;R;010;ED.PHYS.SPORT;2;*;;;2017
S;EAT;E;R;011-1;ECO AGR TER S;2;;;;2017
S;SCI;I;E;011-2;INFO SC NUMER;2;;;;2017
S;SCI;I;R;011-2;INFO SC NUMER;2;;;;2017
S;SVT;I;E;011-2;INFO SC NUMER;2;;;;2017
S;SVT;I;R;011-2;INFO SC NUMER;2;;;;2017
S;SVT;S;R;013;EPS COMPLEM.;2;;;;2017
S;SCI;P;R;208;L.V.E. 2;2;;;;2017
S;SVT;S;R;208;L.V.E. 2;2;;;;2017
S;EAT;E;R;003;HIST.GEOG.;3;;;;2017
S;SCI;C;E;003;HIST.GEOG.;3;;;;2017
S;SCI;C;R;003;HIST.GEOG.;3;;;;2017
S;SCI;I;E;003;HIST.GEOG.;3;;;;2017
S;SCI;I;R;003;HIST.GEOG.;3;;;;2017
S;SCI;M;R;003;HIST.GEOG.;3;;;;2017
S;SCI;P;E;003;HIST.GEOG.;3;;;;2017
S;SCI;P;R;003;HIST.GEOG.;3;;;;2017
S;SVT;I;E;003;HIST.GEOG.;3;;;;2017
S;SVT;I;R;003;HIST.GEOG.;3;;;;2017
S;SVT;M;E;003;HIST.GEOG.;3;;;;2017
S;SVT;M;R;003;HIST.GEOG.;3;;;;2017
